"";"id";"Age";"Sex";"Hand";"Condition";"Faculty";"cmx"
"1";1;18;"f";"r";"Stock Market";"chemistry";0,842234897061147
"2";3;21;"f";"r";"Stock Market";"chemistry";0,808599550857559
"3";5;25;"m";"r";"Stock Market";"chemistry";0,906139506386726
"4";6;25;"f";"r";"Stock Market";"chemistry";0,852016703106396
"5";7;21;"m";"r";"Stock Market";"chemistry";0,825157121255158
"6";8;21;"f";"r";"Stock Market";"chemistry";0,898430024965991
"7";9;21;"m";"r";"Stock Market";"chemistry";0,865797622901518
"8";10;20;"f";"r";"Stock Market";"chemistry";0,890834332130971
"9";12;19;"f";"r";"Coin Tossing";"chemistry";0,812920909301684
"10";13;20;"f";"r";"Coin Tossing";"chemistry";0,886635245430399
"11";14;19;"f";"r";"Coin Tossing";"chemistry";0,797298490234572
"12";15;25;"f";"r";"Coin Tossing";"chemistry";0,102510908937792
"13";16;19;"f";"r";"Coin Tossing";"chemistry";0,825036111099467
"14";17;19;"f";"r";"Coin Tossing";"chemistry";0,458766406461292
"15";18;20;"m";"r";"Coin Tossing";"chemistry";0,895872728239113
"16";19;19;"m";"r";"Coin Tossing";"chemistry";0,871499652722118
"17";21;20;"m";"r";"No Instruction";"chemistry";0,84101609325636
"18";22;21;"m";"r";"No Instruction";"chemistry";0,861274290142633
"19";23;24;"f";"r";"No Instruction";"chemistry";0
"20";24;23;"f";"r";"No Instruction";"chemistry";0,788101870392625
"21";25;18;"f";"r";"No Instruction";"chemistry";0,897530397051726
"22";26;21;"f";"r";"No Instruction";"chemistry";0,884143228960001
"23";27;19;"f";"r";"No Instruction";"chemistry";0,868068947294446
"24";28;20;"m";"l";"No Instruction";"chemistry";0,813929423437569
"25";29;23;"f";"r";"No Instruction";"chemistry";0,909884513424902
"26";30;20;"f";"l";"No Instruction";"chemistry";0,856615055265136
"27";31;24;"m";"r";"Stock Market";"psychology";0,882069043634979
"28";33;21;"f";"r";"Stock Market";"psychology";0,878439821972413
"29";34;21;"f";"r";"Stock Market";"psychology";0,791609172418374
"30";35;23;"f";"r";"Stock Market";"psychology";0,774769974592456
"31";36;23;"f";"r";"Stock Market";"psychology";0,814438492395576
"32";37;27;"m";"r";"Stock Market";"psychology";0,875085702119915
"33";38;25;"f";"r";"Stock Market";"psychology";0,754455853374811
"34";39;23;"f";"r";"Stock Market";"psychology";0,890781001688332
"35";40;22;"f";"r";"Stock Market";"psychology";0,823250409571612
"36";41;24;"f";"r";"Stock Market";"psychology";0,865458800697394
"37";42;21;"f";"r";"Stock Market";"psychology";0,831146021157562
"38";43;20;"f";"r";"Stock Market";"psychology";0,879521303647951
"39";44;19;"m";"r";"Stock Market";"psychology";0,885502545745747
"40";45;22;"m";"r";"Stock Market";"psychology";0,884646732096643
"41";47;23;"f";"r";"Stock Market";"psychology";0,0705584862295196
"42";49;19;"f";"r";"Stock Market";"psychology";0,675836580994121
"43";50;23;"f";"r";"Stock Market";"psychology";0,896835749669028
"44";51;22;"f";"r";"Coin Tossing";"psychology";0,0319848084260317
"45";52;23;"m";"r";"Coin Tossing";"psychology";0,85337476220016
"46";53;21;"f";"r";"Coin Tossing";"psychology";0,823392028134428
"47";56;19;"m";"r";"Coin Tossing";"psychology";0,895016417528846
"48";57;28;"f";"r";"Coin Tossing";"psychology";0,850795551974353
"49";58;19;"f";"r";"Coin Tossing";"psychology";0,892896327810782
"50";60;20;"f";"r";"Coin Tossing";"psychology";0,889980362742865
"51";61;22;"f";"r";"Coin Tossing";"psychology";0,896795367423705
"52";62;23;"f";"r";"Coin Tossing";"psychology";0,877707951643674
"53";63;19;"f";"r";"Coin Tossing";"psychology";0,884915594879686
"54";65;22;"f";"r";"Coin Tossing";"psychology";0,890401971977195
"55";67;20;"f";"r";"Coin Tossing";"psychology";0,815092239234438
"56";68;18;"f";"r";"Coin Tossing";"psychology";0,908561512920039
"57";69;20;"f";"r";"Coin Tossing";"psychology";0,912761231211404
"58";70;23;"f";"r";"Coin Tossing";"psychology";0,876194170632323
"59";71;23;"f";"r";"Coin Tossing";"psychology";0,875194344832327
"60";72;24;"f";"r";"Coin Tossing";"psychology";0,841526820258409
"61";73;21;"f";"r";"No Instruction";"psychology";0,864300190984084
"62";74;20;"m";"l";"No Instruction";"psychology";0,861513769618656
"63";75;19;"m";"r";"No Instruction";"psychology";0,733903965013346
"64";76;22;"f";"r";"No Instruction";"psychology";0,826429276061051
"65";77;23;"f";"r";"No Instruction";"psychology";0,685699140586387
"66";78;22;"m";"r";"No Instruction";"psychology";0,909522312278329
"67";79;19;"f";"r";"No Instruction";"psychology";0,721631760801201
"68";80;19;"f";"r";"No Instruction";"psychology";0,898633841561263
"69";82;20;"f";"r";"No Instruction";"psychology";0,45484991287374
"70";83;22;"f";"r";"No Instruction";"psychology";0,825580091880211
"71";84;21;"m";"r";"No Instruction";"psychology";0,899425273774022
"72";85;19;"f";"r";"No Instruction";"psychology";0,701001884544924
"73";86;23;"f";"r";"No Instruction";"psychology";0,230744312740736
"74";87;22;"f";"r";"No Instruction";"psychology";0,655134166604691
"75";88;20;"f";"r";"No Instruction";"psychology";0,883425897191623
"76";90;26;"f";"r";"No Instruction";"psychology";0,900155595109363
"77";91;23;"f";"r";"No Instruction";"psychology";0,89631670267812
"78";92;19;"f";"r";"No Instruction";"psychology";0,894597154186355
"79";93;NA;"f";"r";"No Instruction";"psychology";0,337119457102201
"80";94;NA;"m";"r";"No Instruction";"psychology";0,613543506983137
"81";95;NA;"f";"r";"No Instruction";"psychology";0,852734867199136
"82";96;23;"m";"r";"No Instruction";"psychology";0,791059817566495
"83";97;NA;"f";"r";"No Instruction";"psychology";0,791563654708827
"84";98;22;"f";"r";"No Instruction";"psychology";0
"85";99;22;"f";"r";"No Instruction";"psychology";0,100478950985143
"86";100;18;"f";"r";"No Instruction";"psychology";0,739322353862003
"87";101;22;"f";"r";"No Instruction";"psychology";0,204354061785566
"88";102;19;"f";"r";"Coin Tossing";"psychology";0,582762774681922
"89";103;24;"f";"r";"Coin Tossing";"psychology";0,891952745981874
"90";104;24;"f";"r";"Coin Tossing";"psychology";0,883681123047899
"91";105;22;"f";"r";"Coin Tossing";"psychology";0,88204371685659
"92";107;19;"m";"r";"Coin Tossing";"psychology";0,917174069773681
"93";108;22;"f";"r";"Coin Tossing";"psychology";0,878722153095571
"94";109;24;"m";"r";"Coin Tossing";"psychology";0,794297594451475
"95";110;24;"m";"r";"Coin Tossing";"psychology";0,885565938858729
"96";111;21;"m";"r";"Coin Tossing";"psychology";0,435607967427686
"97";112;24;"m";"r";"Coin Tossing";"psychology";0,769145859241003
"98";113;27;"f";"r";"Stock Market";"psychology";0,833570485788477
"99";114;30;"f";"r";"Stock Market";"psychology";0,907616090131458
"100";115;23;"m";"r";"Stock Market";"psychology";0,84792864179884
"101";116;22;"m";"r";"Stock Market";"psychology";0,794493059677639
"102";117;20;"f";"r";"Stock Market";"psychology";0,84229156576225
"103";118;20;"f";"r";"Stock Market";"psychology";0,873874065478562
"104";119;NA;"f";"r";"Stock Market";"psychology";0,855068196531952
"105";120;20;"f";"l";"Stock Market";"psychology";0,596088818899248
"106";121;20;"f";"r";"Stock Market";"psychology";0,862309534315593
"107";122;20;"f";"r";"Stock Market";"psychology";0,851614398248449
"108";123;21;"f";"r";"Stock Market";"psychology";0,896842052825335
"109";124;23;"f";"";"Coin Tossing";"chemistry";0,0628579225789168
"110";125;20;"m";"";"Coin Tossing";"chemistry";0,81391227755677
"111";126;21;"f";"";"Coin Tossing";"chemistry";0,865173784638404
"112";127;21;"f";"";"Coin Tossing";"chemistry";0,884056464916555
"113";128;26;"m";"";"Coin Tossing";"chemistry";0,873307572079425
"114";129;23;"m";"";"Coin Tossing";"chemistry";0,725720485762669
"115";130;25;"m";"";"Coin Tossing";"chemistry";0,772217449295821
"116";131;22;"f";"";"Coin Tossing";"chemistry";0,883990744063413
"117";132;26;"m";"";"Coin Tossing";"chemistry";0,822546008944852
"118";133;24;"f";"";"Coin Tossing";"chemistry";0,821612855327529
"119";134;24;"f";"";"Coin Tossing";"chemistry";0,911147023763981
"120";135;22;"f";"";"Coin Tossing";"chemistry";0,854700436289793
"121";136;22;"f";"";"Coin Tossing";"chemistry";0,874422458931272
"122";137;22;"m";"";"Coin Tossing";"chemistry";0,890593037724329
"123";138;20;"m";"";"Coin Tossing";"chemistry";0,89837607380541
"124";139;21;"f";"";"Coin Tossing";"chemistry";0,899384066190506
"125";140;21;"f";"";"Coin Tossing";"chemistry";0,843220697531188
"126";141;21;"m";"";"Coin Tossing";"chemistry";0,852793055449515
"127";142;21;"m";"";"Coin Tossing";"chemistry";0,880015851428999
"128";143;21;"f";"";"Coin Tossing";"chemistry";0,905539925851204
"129";144;21;"f";"";"Stock Market";"chemistry";0,751275929943442
