"";"id";"ids";"survey_finish_time";"Sex";"Condition";"Year";"City_size";"Education_level";"year";"need_for_cognition";"cmx"
"1";4;1;1645;1;"heterogeneous";59;3;3;59;90;0,742796202663723
"2";4;2;1645;1;"heterogeneous";59;3;3;59;90;0,662709643654196
"3";4;3;1645;1;"heterogeneous";59;3;3;59;90;0,53910171716408
"4";4;4;1645;1;"heterogeneous";59;3;3;59;90;0,510705051385133
"5";4;5;1645;1;"heterogeneous";59;3;3;59;90;0,722660612636126
"6";4;6;1645;1;"heterogeneous";59;3;3;59;90;0,665541688517414
"7";4;7;1645;1;"heterogeneous";59;3;3;59;90;0,695449395260862
"8";4;8;1645;1;"heterogeneous";59;3;3;59;90;0,682142901160894
"9";4;9;1645;1;"heterogeneous";59;3;3;59;90;0,617121201766087
"10";4;10;1645;1;"heterogeneous";59;3;3;59;90;0,701375557696085
"11";5;1;939;1;"heterogeneous";41;1;6;41;102;0,862980269223447
"12";5;2;939;1;"heterogeneous";41;1;6;41;102;0,645122320713135
"13";5;3;939;1;"heterogeneous";41;1;6;41;102;0,672288011221541
"14";5;4;939;1;"heterogeneous";41;1;6;41;102;0,787646267985873
"15";5;5;939;1;"heterogeneous";41;1;6;41;102;0,872142037362469
"16";5;6;939;1;"heterogeneous";41;1;6;41;102;0,875318378070242
"17";5;7;939;1;"heterogeneous";41;1;6;41;102;0,971411425530141
"18";5;8;939;1;"heterogeneous";41;1;6;41;102;0,744693954374546
"19";5;9;939;1;"heterogeneous";41;1;6;41;102;0,872142037362469
"20";5;10;939;1;"heterogeneous";41;1;6;41;102;0,948937897606255
"21";6;1;1300;1;"heterogeneous";29;5;6;29;96;0,769390972395359
"22";6;2;1300;1;"heterogeneous";29;5;6;29;96;0,512160797424987
"23";6;3;1300;1;"heterogeneous";29;5;6;29;96;0,593520889443611
"24";6;4;1300;1;"heterogeneous";29;5;6;29;96;0,690999658400696
"25";6;5;1300;1;"heterogeneous";29;5;6;29;96;0,454332100289368
"26";6;6;1300;1;"heterogeneous";29;5;6;29;96;0,475361115290814
"27";6;7;1300;1;"heterogeneous";29;5;6;29;96;0,7201130879195
"28";6;8;1300;1;"heterogeneous";29;5;6;29;96;0,637901693381399
"29";6;9;1300;1;"heterogeneous";29;5;6;29;96;0,582587380717582
"30";6;10;1300;1;"heterogeneous";29;5;6;29;96;0,607124886128957
"31";7;1;851;1;"homogeneous";29;3;5;29;92;0,648492552679799
"32";7;2;851;1;"homogeneous";29;3;5;29;92;0,71226821502147
"33";7;3;851;1;"homogeneous";29;3;5;29;92;0,612080093182332
"34";7;4;851;1;"homogeneous";29;3;5;29;92;0,654522607735819
"35";7;5;851;1;"homogeneous";29;3;5;29;92;0,488302318616493
"36";7;6;851;1;"homogeneous";29;3;5;29;92;0,241948437647008
"37";7;7;851;1;"homogeneous";29;3;5;29;92;0,642093603317493
"38";7;8;851;1;"homogeneous";29;3;5;29;92;0,639979578876818
"39";7;9;851;1;"homogeneous";29;3;5;29;92;0,585229948736826
"40";7;10;851;1;"homogeneous";29;3;5;29;92;0,116297374499408
"41";10;1;1094;2;"heterogeneous";34;4;3;34;84;0,570962198267338
"42";10;2;1094;2;"heterogeneous";34;4;3;34;84;0,628800562874247
"43";10;3;1094;2;"heterogeneous";34;4;3;34;84;0,553647337451401
"44";10;4;1094;2;"heterogeneous";34;4;3;34;84;0,394225962541883
"45";10;5;1094;2;"heterogeneous";34;4;3;34;84;0,415392771834443
"46";10;6;1094;2;"heterogeneous";34;4;3;34;84;0
"47";10;7;1094;2;"heterogeneous";34;4;3;34;84;0
"48";10;8;1094;2;"heterogeneous";34;4;3;34;84;0,558910208865846
"49";10;9;1094;2;"heterogeneous";34;4;3;34;84;0,563290983571872
"50";10;10;1094;2;"heterogeneous";34;4;3;34;84;0,471470867016822
"51";11;1;992;2;"homogeneous";51;5;6;51;83;0,47704168446827
"52";11;2;992;2;"homogeneous";51;5;6;51;83;0,606963439657608
"53";11;3;992;2;"homogeneous";51;5;6;51;83;0,224268938415175
"54";11;4;992;2;"homogeneous";51;5;6;51;83;0,367881665944124
"55";11;5;992;2;"homogeneous";51;5;6;51;83;0,662982576280008
"56";11;6;992;2;"homogeneous";51;5;6;51;83;0,691379242058955
"57";11;7;992;2;"homogeneous";51;5;6;51;83;0,582587380717582
"58";11;8;992;2;"homogeneous";51;5;6;51;83;0,7201130879195
"59";11;9;992;2;"homogeneous";51;5;6;51;83;0,697951293468544
"60";11;10;992;2;"homogeneous";51;5;6;51;83;0,522073456251193
"61";16;1;840;1;"heterogeneous";35;5;6;35;95;0,867996128278383
"62";16;2;840;1;"heterogeneous";35;5;6;35;95;0,679213763245129
"63";16;3;840;1;"heterogeneous";35;5;6;35;95;0,610366500673034
"64";16;4;840;1;"heterogeneous";35;5;6;35;95;0,730769035204541
"65";16;5;840;1;"heterogeneous";35;5;6;35;95;0,585229948736826
"66";16;6;840;1;"heterogeneous";35;5;6;35;95;0,899363987210308
"67";16;7;840;1;"heterogeneous";35;5;6;35;95;0,502597997821174
"68";16;8;840;1;"heterogeneous";35;5;6;35;95;0,820044350963509
